DietMatchesRecipe,AuthorId,RecipeId
True,2000098669E,97764
True,615647A,11200
True,2537843D,432871
True,2537843D,203463
True,2537843D,338030
True,1280039D,67186
True,2001939950D,9319
True,2027912A,375289
True,1201472D,396587
True,1217295B,119276
True,726538B,29730
True,2001977024B,16887
True,1519452A,46072
True,74712C,332034
True,321352A,324
True,465289A,62183
True,2001603977B,429838
True,2000271210B,134742
True,2786600D,208136
True,2786600D,43331
True,1802503482C,66596
True,1803534164D,38748
True,1225390C,288931
True,1225390C,173513
True,2489240C,28670
True,1802794779C,117148
True,1447074E,284456
True,1447074E,13307
True,465679C,259497
True,465679C,293529
True,465679C,514941
True,2002237501A,14470
True,2002237501A,147237
True,2002237501A,19514
True,2038963D,22127
True,198026A,28445
True,2002030273C,105239
True,1802835614E,399666
True,2002313708B,343546
True,272304E,100999
True,1707148E,221743
True,1374796A,150384
True,1073513E,207702
True,229808A,186133
True,1529630A,29380
True,246720A,304233
True,2002223570A,122939
True,2000169902C,39301
True,1982193C,96619
True,1800064831E,236333
True,911900C,1209
True,494329E,31516
True,494329E,387616
True,494329E,33776
True,1527595A,90885
True,2000997932B,80156
True,2761763C,245186
True,325222B,79746
True,1596638D,26932
True,1596638D,152834
True,2099638D,400893
True,1803120738D,153191
True,2001268487A,261889
True,1268969D,450320
True,224801C,94964
True,328164B,159606
True,164345D,70097
True,187388B,28094
True,187388B,15646
True,888966C,78814
True,1054649A,33671
True,1217134B,58660
True,2527796A,80350
True,115239A,143126
True,2001617061C,164780
True,2002720401E,75316
True,192531C,28208
True,2001729223A,41218
True,2001729223A,63501
True,479071B,176731
True,2825229D,10140
True,641222E,77397
True,1946418A,431399
True,2501843A,96886
True,2002365857B,305306
True,150727A,77201
True,2001684228A,181870
True,1309933B,26451
True,1533752C,38298
True,2000111522D,13656
True,78953E,11571
True,2001760200D,22782
True,1104029D,303645
True,537668C,89751
True,537668C,88910
True,2000212880D,52008
True,716106E,150778
True,1106285A,115947
True,2000094056A,79431
True,2000094056A,331024
True,2000094056A,56538
True,774456C,49203
True,2001895436A,314202
True,1399984A,81171
True,139795D,192346
True,2000716877B,233481
True,2000459964B,179050
True,2646992D,79917
True,1803338713A,18039
True,1996776A,40047
True,2002587306A,368209
True,1802718366D,9351
True,1802718366D,4627
True,1435713B,84775
True,1541559C,49813
True,286589C,10211
True,8713029E,82591
True,28105E,111372
True,46264136D,197059
True,2524930E,30555
True,2002602002A,58497
True,1424855D,224770
True,1018447A,349246
True,445244A,25502
True,538146D,61195
True,538146D,87962
True,538146D,116655
True,538146D,173832
True,538146D,34382
True,538146D,34499
True,1300866D,2708
True,1802490366A,56139
True,1802490366A,47600
True,2686834A,96521
True,114449D,102457
True,114449D,202634
True,2002249419D,125515
True,2000887202D,113860
True,59812E,10712
True,282250C,22984
True,203475D,99476
True,203475D,44889
True,272510E,33352
True,568689E,73583
True,2001210693E,107701
True,680179A,190061
True,962394B,420398
True,1229184C,140999
True,2001636930A,225123
True,2846685E,41463
True,2000778928E,94219
True,2743934A,53599
True,2002394386C,22512
True,2002394386C,20131
True,1213149A,26531
True,2208322C,109856
True,828089D,113762
True,2002354484E,61393
True,2056075D,198707
True,805131C,241451
True,994942B,264191
True,2375402D,148726
True,911441B,117229
True,151591A,237395
True,115470E,343611
True,428229B,80471
True,1332021D,33671
True,2002671856A,217140
True,2001931498B,268654
True,127258D,95524
True,1914675E,63828
True,2000368794B,73362
True,1921465A,89124
True,74590C,44800
True,524709D,522608
True,735086A,208263
True,244563D,73922
True,244563D,2933
True,1552616B,166789
True,1552616B,123919
True,1552616B,53594
True,1552616B,212411
True,1552616B,31972
True,575507E,48401
True,399038D,32566
True,2001044411B,427411
True,2002900935C,32386
True,527011D,33671
True,2001664234E,243562
True,2002267704D,332089
True,456797A,429589
True,527875A,70486
True,527875A,135350
True,527875A,39087
True,527875A,104150
True,527875A,54225
True,6127B,499517
True,314280E,94164
True,767727E,109283
True,2868965A,80156
True,2001525147E,44223
True,1829140D,286892
True,1977775C,14689
True,74732D,1209
True,2001865983E,134577
True,2587205C,22062
True,772391B,257429
True,2125014A,142221
True,42595502E,382998
True,2000410057D,27554
True,64521B,38298
True,2245729C,92257
True,1803088875A,17911
True,1656178C,37457
True,1656178C,143690
True,1803431933D,12619
True,2001666877B,420398
True,2591661C,384745
True,891766B,488797
True,434662C,252920
True,1442173B,199363
True,2785450B,27864
True,695944A,344309
True,349030D,61816
True,2001869883C,99476
True,99058D,18556
True,99058D,108908
True,1793667C,348802
True,1802524345D,83506
True,1578084C,424048
True,2001432505C,472743
True,273026E,368735
True,663292E,144926
True,663292E,14906
True,165865E,55854
True,2001283111C,26820
True,978687C,113914
True,978687C,225456
True,978687C,401849
True,2002295619B,82132
True,2002295619B,83189
True,2002295619B,122412
True,2096682E,132263
True,2774626C,106167
True,2001717470A,179821
True,2615576E,37701
True,1717459E,537564
True,921012A,241150
True,2002200565B,181106
True,2000492574E,12458
True,1283999B,21085
True,1800104829A,79072
True,367302E,44398
True,2488848E,27208
True,334505D,40982
True,2001508337C,420398
True,1072003D,68063
True,633586B,111372
True,137444E,78040
True,137444E,48771
True,1276124C,23740
True,591223A,53914
True,2000988421E,264191
True,2000415472B,24044
True,945540E,33671
True,1013468E,57025
True,1564727A,31516
True,1564727A,100727
True,1178712C,168367
True,1926132D,39027
True,2152424E,317773
True,2000999131E,23824
True,1598527E,493958
True,1661616A,225387
True,2002314598D,14352
True,2036594A,166260
True,2696370B,306761
True,2002147012D,2526
True,2002147012D,20155
True,44754688B,53854
True,1853093E,32783
True,1803625047D,155194
True,607138B,107701
True,2001720795D,420398
True,2000369886A,102339
True,2002882325B,11001
True,107425E,100727
True,1632692C,32614
True,1632692C,144252
True,1803003324E,163619
True,1134742A,118263
True,1438160E,16531
True,1417826C,72559
True,1417826C,99669
True,1802801253C,386302
True,1641544D,822
True,267276D,10045
True,2002114651E,493413
True,629291E,145212
True,1800835309B,316546
True,2000847106D,48603
True,2001271769E,534899
True,2002039700D,26033
True,2002039700D,221696
True,2002712720C,503794
True,2001953379C,49492
True,2014802D,185432
True,43083B,512615
True,2001265861B,93886
True,2001885E,344683
True,1405730B,133124
True,707081D,83625
True,1555166C,28954
True,2001256541A,41662
True,1205119B,34753
True,2000287063A,876
True,945124B,3857
True,2001468632C,63712
True,1519634A,55438
True,1802815265D,339453
True,1367169A,13982
True,239943C,16871
True,239943C,211842
True,1665064C,27634
True,25175A,32880
True,1377573E,104852
True,2002788916D,128956
True,2001046197B,84637
True,2682438B,90323
True,2001344851D,134579
True,1445022C,10428
True,2002249292A,42846
True,1692408C,125080
True,1636394A,100092
True,2000632687E,416329
True,536930E,69630
True,1446484C,493413
True,1758081A,139406
True,1443918D,365510
True,239965E,109220
True,2001836569B,45108
True,2001836569B,50342
True,2001836569B,18970
True,2001836569B,107235
True,1803063825C,17086
True,1614553D,420398
True,2002249263C,105503
True,2000641263C,475201
True,156886E,22611
True,2002398687B,140411
True,1803596762D,9374
True,2002141714B,1428
True,91435C,95414
True,737389D,241796
True,181677B,169500
True,2000853316A,33752
True,1829525C,132263
True,879868E,275906
True,2002060349E,131870
True,829216E,52986
True,1524085D,47077
True,1591783B,132263
True,2002354324B,146012
True,2002354324B,443640
True,436032E,56340
True,2002214627E,451233
True,989869B,209427
True,989869B,195086
True,989869B,12222
True,989869B,185404
True,2002173042E,176207
True,275317A,22691
True,275317A,223260
True,2001384038E,215529
True,2799846E,32296
True,2799846E,209903
True,2000547280B,335857
True,638687C,196141
True,2007901C,28768
True,704492B,105830
True,2000011272C,30358
True,2000011272C,49644
True,2001001580A,406057
True,2001001580A,154400
True,2001001580A,75939
True,1142487B,373964
True,2001060157B,89207
True,859058B,116989
True,859058B,18296
True,859058B,195869
True,11835C,8029
True,11835C,227371
True,499415A,123030
True,499415A,219233
True,499415A,129626
True,488664E,169242
True,2001443389D,11619
True,1822709C,124807
True,693995D,36013
True,1803167875E,65049
True,2001728660D,461008
True,801398A,227151
True,801398A,32503
True,824010C,142735
True,1802584516E,8925
True,2030482D,114177
True,2099217E,208556
True,1802492114A,68989
True,942746D,19155
True,1800036863E,168802
True,872836E,181838
True,2000993319B,297900
True,1218997D,315511
True,125579A,33671
True,390382E,12192
True,2082308D,298234
True,614373B,93494
True,1802687299D,257404
True,2943911D,135323
True,1575301E,84247
True,1575301E,43817
True,27057A,322546
True,1803513952B,167467
True,2002795592E,96668
True,2002795592E,13388
True,2002795592E,33752
True,2001352059E,95823
True,454408C,105260
True,1802383073C,52230
True,1557668C,251894
True,591205B,94116
True,2001550044B,20907
True,2002213743E,30602
True,859159E,103199
True,576157B,127150
True,815634C,137624
True,1800092348E,57305
True,1378387C,191098
True,1705479B,12981
True,1361210D,39180
True,491390E,279137
True,2001681927E,196020
True,2001671053A,86717
True,608544A,102858
True,2002628125E,22782
True,1569186D,80254
True,1569186D,104636
True,2002648954E,18434
True,930656A,281116
True,1214183B,48346
True,92195C,6627
True,361828E,110140
True,361828E,316188
True,2363329A,124194
True,856156C,34909
True,795665E,71499
True,795665E,24565
True,2000005614B,368209
True,1278244A,183851
True,844967C,236822
True,2001270594D,131044
True,2890276A,68659
True,2890276A,91926
True,1319565E,167058
True,2211083B,19474
True,888129D,359768
True,2163928E,93187
True,2163928E,133998
True,2002225745C,488751
True,889816C,92480
True,2449577C,85921
True,142364A,143437
True,2000052526A,70522
True,2001464777D,232717
True,72745C,285207
True,25237A,129598
True,189595C,376199
True,399166D,69173
True,399166D,64138
True,399166D,347655
True,456245C,67068
True,456245C,288912
True,1457076C,92692
True,2002168361C,299483
True,2178D,305575
True,2002180927C,151057
True,327249B,66675
True,1826792E,76673
True,947629D,78350
True,947629D,138620
True,947629D,52104
True,458573E,84304
True,458573E,126616
True,2001123919E,337385
True,262035D,173013
True,1236403B,26110
True,2002523185B,86623
True,12625E,157316
True,1256021C,159555
True,717153D,80156
True,2000824535C,112074
True,1086156E,52206
True,2001820155E,15866
True,2641137A,208299
True,40384C,54257
True,1800072825D,47750
True,1290504A,81251
True,1290504A,50796
True,1290504A,285530
True,1290504A,221743
True,1290504A,16545
True,1290504A,219907
True,1015478D,55916
True,1995953A,264596
True,1929948E,128566
True,12453458A,416502
True,1229075C,29569
True,2001910644B,395145
True,2002140854E,67256
True,2000829481E,80156
True,2002146734B,57466
True,2002146734B,18597
True,634357B,116610
True,1425594D,43509
True,2771800A,74969
True,894256E,145662
True,894256E,333219
True,2001827570A,151038
True,2048637E,2496
True,353401A,90243
True,2002377677B,14199
True,246197A,252563
True,246197A,261948
True,185450E,335824
True,185450E,50719
True,1293156C,29068
True,179132B,322553
True,1028213C,9411
True,886155B,92702
True,2083940E,43779
True,2798110C,110506
True,2798110C,133751
True,786406D,19301
True,786406D,126789
True,2705092E,97098
True,1994116C,131018
True,2000458355B,215171
True,1381899E,2537
True,1009922B,301013
True,431085C,94198
True,2383637A,375770
True,629859C,180805
True,2951884D,86248
True,80398D,117892
True,2413258B,478368
True,2413258B,156133
True,321374D,117345
True,1821715E,121780
True,2002173959B,6649
True,1341492B,298571
True,2000519210B,647
True,1511439B,281644
True,709986E,48697
True,2374496A,10624
True,943432E,131018
True,2297372C,155186
True,256334B,355419
True,886917C,8701
True,886917C,10849
True,886917C,106436
True,886917C,100346
True,2001791235A,184674
True,13670A,17943
True,13670A,304233
True,400832E,112103
True,1082670C,49261
True,2609573D,459803
True,2776058E,495175
True,2889093E,19084
True,2513063D,15958
True,2001215028B,93094
True,2002223719C,305470
True,2001372287E,29597
True,2002898648B,116849
True,2915383C,416017
True,539352A,415429
True,2428665C,414536
True,2002259245C,12730
True,1803399268B,26773
True,2726970A,164883
True,73583D,45126
True,1929339B,86410
True,41988827C,203777
True,2001624298E,54225
True,1801977865E,183371
True,203759A,105865
True,2667297C,167576
True,41531A,25885
True,2001015499E,337294
True,2000075908C,103772
True,1315027A,130947
True,1084021E,318452
True,2000969946C,66100
True,2248489E,22542
True,1288070E,84612
True,920861E,95222
True,2002758233C,446770
True,1614610B,35805
True,1661763E,53086
True,2002238223C,77397
True,2002736156C,62863
True,46678C,39087
True,1417611A,135880
True,436240A,84419
True,335974C,106260
True,2001550181E,127763
True,18299E,97573
True,2002254730E,261889
True,1802616765B,27208
True,2215834D,82418
True,940741B,97273
True,940741B,102860
True,940741B,112425
True,1800061928D,12572
True,2000638129C,273842
True,2203607E,264191
True,231627D,70165
True,125653E,296953
True,103226C,134557
True,1134258B,1242
True,1147478D,50510
True,1147478D,52358
True,2198640C,301754
True,2000161637B,55514
True,81667D,33919
True,2000658943C,111412
True,2175491C,128956
True,1047621B,241139
True,1374871B,365227
True,2002423452A,79944
True,1173208E,94364
True,1173208E,86133
True,2241120B,17155
True,528006C,97325
True,2250229E,63828
True,1042583A,94536
True,2001617122C,76475
True,124233C,458408
True,2208521A,376155
True,1651201E,368209
True,1800426704A,27887
True,1023808C,361331
True,353973E,248806
True,2002644967C,449452
True,2001658032A,483231
True,1563723C,21843
True,405597B,39526
True,920236B,72794
True,1630601B,105830
True,2002293362E,59155
True,970425D,213659
True,2000894973B,59635
True,797963A,384599
True,399417C,30526
True,22132C,462915
True,22132C,258464
True,2001791925D,12648
True,147026B,4637
True,1207274E,33841
True,2001283484C,66331
True,175838A,197357
True,848288E,412375
True,848288E,13309
True,2000492724D,80661
True,1401897A,96008
True,1401897A,159739
True,2002156905E,147584
True,1340596B,434424
True,1802587538D,46877
True,2872582D,164167
True,2580239D,282232
True,2000952821B,17453
True,107631B,61718
True,344974D,283967
True,2047630E,430565
True,125971C,129773
True,125971C,22782
True,2769973C,29017
True,1520241A,264191
True,1086083A,44115
True,600047D,114514
True,539366E,284999
True,648917D,39011
True,1579473C,47856
True,42791857C,215397
True,2000966306E,200511
True,1037380D,143244
True,2000867021E,417092
True,2033084D,209601
True,2001230882B,235271
True,1803234586C,248110
True,2001319646C,147458
True,2001883547E,49455
True,1903672A,32625
True,31088A,294898
True,763664C,7427
True,2000604182C,210212
True,2001868319D,221665
True,2001868319D,119255
True,777156C,71203
True,523939B,497736
True,1590185D,50353
True,1803588133E,392314
True,1800042695B,157939
True,2000191280D,96980
True,2000191280D,102083
True,1867221C,141406
True,891454B,89280
True,1768439D,190529
True,2000574032D,2537
True,333799E,311020
True,2002749574C,11180
True,89613D,265646
True,367745E,449452
True,2391978D,70921
True,2391978D,127931
True,195969B,39087
True,2883434E,73166
True,2622586E,262960
True,791922E,78028
True,1361987E,10310
True,1361987E,389680
True,1420553C,87414
True,117003C,323698
True,2002158157D,10712
True,1519728E,82102
True,2699274C,154918
True,1802465548D,22169
True,1464792E,519723
True,475345E,60350
True,2000273251C,132263
True,360471C,37020
True,360471C,53914
True,230637C,97361
True,557486A,201336
True,484489D,275486
True,42688C,423316
True,308932A,10744
True,308932A,65768
True,308932A,390254
True,308932A,447582
True,308932A,91781
True,1589500D,131018
True,2001598827E,475262
True,2904685C,54351
True,181107B,54225
True,1765903A,17140
True,267778A,254656
True,2638123B,447688
True,2001944660C,31358
True,2161108E,151035
True,1373251D,114392
True,1803544937C,156305
True,869415B,38251
True,2002219802E,220872
True,2002219802E,202657
True,2002219802E,33520
True,2002219802E,51041
True,2002219802E,16887
True,2002219802E,9004
True,235755E,288251
True,828068B,18552
True,828068B,34396
True,929091D,83429
True,2000736288C,185833
True,483650A,177655
True,2643772A,399381
True,786357C,427399
True,786357C,24044
True,2117876A,107570
True,2001249769B,261788
True,1802636254B,38238
True,1626227D,115153
True,490320E,353979
True,490320E,57947
True,53848B,9954
True,2002504941A,21320
True,2002504941A,98918
True,2000285778B,123107
True,1330783B,51104
True,1330783B,31809
True,1330783B,9058
True,1330783B,31804
True,1330783B,1485
True,43478D,38764
True,1165723E,179056
True,2001664594D,153934
True,913784B,142502
True,591401B,28817
True,591401B,258726
True,591401B,223356
True,332586C,334717
True,1486488A,159272
True,96489E,54225
True,2749487D,21324
True,242274D,115253
True,242274D,76491
True,242274D,57130
True,2002161068A,194447
True,490416E,173518
True,2001351776A,130740
True,1802536141D,146549
True,1132459E,242083
True,1228372E,268448
True,958275C,200767
True,1932847E,358839
True,282005C,459093
True,195934A,479018
True,9622D,429965
True,172672D,384799
True,1386143A,275256
True,2002073687B,261006
True,1744271A,356542
True,1640831A,371464
True,1800085708C,34601
True,2002026425D,115220
True,2000364363E,507069
True,2782452E,30946
True,2075338D,272878
True,121618E,107973
True,1656428C,287041
True,1656428C,68404
True,522982C,4633
True,522982C,27895
True,522982C,175799
True,522982C,245857
True,522982C,191151
True,2656060B,68955
True,1424419C,257122
True,2000556926D,121580
True,2000580383D,22782
True,178619C,15577
True,2639172C,64049
True,1997290D,43770
True,424604B,198647
True,424604B,111829
True,2000467887A,26773
True,2213816B,36869
True,2658742A,81852
True,2614308E,384181
True,130972D,501987
True,1172940E,79032
True,188547C,55516
True,392899A,59318
True,422957E,186948
True,232069B,8596
True,2000623468D,105617
True,2000858990D,48356
True,2000279422D,21706
True,2000279422D,14896
True,2000279422D,147728
True,2000279422D,8782
True,1241693A,122878
True,2001016614D,70339
True,1753417B,55796
True,1517435D,47296
True,2000082130A,538532
True,148974C,24903
True,148974C,1168
True,1800203092C,21582
True,2649247C,90739
True,2002108797D,429498
True,379638E,15220
True,1800378890A,8567
True,200769B,492427
True,2001678170B,74410
True,2001658684A,63568
True,547996D,352673
True,1511756D,88420
True,526982B,349377
True,221541B,119804
True,2000091388D,219235
True,1800066445B,33671
True,964480C,254495
True,2001397030C,162319
True,2002459952D,8680
True,2002459952D,304747
True,2001833289C,87080
True,2001833289C,167611
True,2000144087C,102700
True,1568673D,27893
True,2002521816D,111697
True,1367600C,179336
True,2001865303B,58309
True,1950104A,15242
True,222386D,150384
True,41874017B,90502
True,2001357058E,88740
True,1451570A,128132
True,1516791B,256146
True,2001076833B,32204
True,2002240998B,8466
True,2001926669E,98182
True,2000312618D,38510
True,992429E,222109
True,2001719328E,440495
True,2535488D,8596
True,2524938D,16849
True,2524938D,25775
True,2112734E,77417
True,1971865A,232433
True,2001589019E,260375
True,2443592E,19529
True,30727E,195253
True,189166B,282598
True,496929A,329491
True,257955D,103036
True,1001341D,65829
True,878971D,9962
True,2865217A,230483
True,1800242594B,67437
True,2001862232B,19424
True,2001188362A,107752
True,69765D,100407
True,2746099C,99062
True,817160E,136206
True,1455050C,16539
True,62031A,424577
True,2001336418B,172675
True,2754835D,10108
True,2001081653E,41426
True,2001081653E,59469
True,2001081653E,26309
True,419200B,194977
True,2002539243E,255194
True,2002125932A,43509
True,2002125932A,77978
True,1385837D,49461
True,1385837D,14520
True,1385837D,145212
True,995952A,187890
True,1190633C,79717
True,1113846C,50719
True,1365271C,449378
True,1290573C,27208
True,1290573C,69063
True,818214B,264191
True,1802756343C,422184
True,973758D,231813
True,693865B,11028
True,2000729794D,48693
True,2002524052D,252695
